iter	RMSE
0	6.684872648
1	6.448015101
2	6.228339631
3	6.045764864
4	5.899757139
5	5.769543001
6	5.626509765
7	5.519745632
8	5.432651636
9	5.337289588
10	5.264765065
11	5.191192257
12	5.135414278
13	5.082226778
14	5.027535241
15	4.981329976
16	4.904264761
17	4.840643811
18	4.776793562
19	4.72394435
20	4.68828192
21	4.646975394
22	4.616700572
23	4.585661316
24	4.55585463
25	4.533362679
26	4.51530361
27	4.491047145
28	4.476180804
29	4.459166067
30	4.44544014
31	4.434960406
32	4.42103795
33	4.406062181
34	4.397528793
35	4.389458001
36	4.381333471
37	4.373260375
38	4.363619903
39	4.350591607
40	4.34473689
41	4.340507987
42	4.321181574
43	4.31593601
44	4.307679073
45	4.303402016
46	4.297600965
47	4.292023151
48	4.28419207
49	4.27964358
50	4.273753786
51	4.269896666
52	4.264146107
53	4.260742414
54	4.258338759
55	4.252608529
56	4.249330629
57	4.246519127
58	4.241005627
59	4.239370289
60	4.236357722
61	4.234160807
62	4.23225863
63	4.229951641
64	4.227111106
65	4.2228602
66	4.217146069
67	4.215776018
68	4.210969484
69	4.20946442
70	4.203970077
71	4.199414056
72	4.196375714
73	4.192131065
74	4.190146914
75	4.188355316
76	4.185092683
77	4.183339376
78	4.182410634
79	4.180492218
80	4.177412054
81	4.175372209
82	4.17419237
83	4.172202186
84	4.170565919
85	4.168768355
86	4.163951761
87	4.162989503
88	4.161073797
89	4.158715208
90	4.157521063
91	4.155875607
92	4.15171387
93	4.149918337
94	4.146120135
95	4.142741755
96	4.141301422
97	4.14101413
98	4.140487409
99	4.136887831
