iter	Passed	Remaining
0	1	194
1	4	204
2	5	192
3	7	174
4	9	172
5	10	165
6	12	164
7	14	165
8	16	162
9	17	158
10	19	155
11	20	150
12	22	148
13	24	147
14	25	145
15	27	144
16	29	142
17	30	140
18	32	136
19	33	133
20	34	131
21	36	128
22	37	125
23	39	124
24	40	121
25	42	121
26	45	121
27	46	119
28	48	118
29	49	116
30	51	114
31	52	112
32	54	110
33	56	109
34	57	107
35	59	106
36	61	104
37	62	101
38	64	100
39	66	99
40	67	97
41	69	95
42	70	93
43	72	92
44	73	90
45	75	88
46	76	86
47	78	85
48	80	83
49	81	81
50	82	79
51	84	78
52	86	76
53	88	75
54	89	73
55	90	71
56	92	69
57	94	68
58	95	66
59	97	64
60	98	62
61	100	61
62	101	59
63	103	57
64	104	56
65	106	54
66	107	52
67	109	51
68	110	49
69	112	48
70	113	46
71	115	44
72	116	43
73	118	41
74	119	39
75	121	38
76	123	36
77	124	35
78	125	33
79	127	31
80	129	30
81	130	28
82	132	27
83	134	25
84	135	23
85	137	22
86	138	20
87	140	19
88	142	17
89	143	15
90	145	14
91	146	12
92	148	11
93	149	9
94	151	7
95	153	6
96	154	4
97	156	3
98	157	1
99	159	0
